iter	Logloss
0	0.6545355768
1	0.6294799729
2	0.6113091075
3	0.60111109
4	0.5908115563
5	0.5840823365
6	0.5790445295
7	0.5733972975
8	0.5684768705
9	0.5648440705
10	0.5613075587
11	0.5584403274
12	0.5558889138
13	0.5537306661
14	0.551535999
15	0.549483307
16	0.5473356783
17	0.5444254819
18	0.5424703684
19	0.5406804929
20	0.5388265146
21	0.537669007
22	0.5362261389
23	0.5346342815
24	0.5337978706
25	0.531541889
26	0.5304220939
27	0.529129564
28	0.5281039938
29	0.5268868253
30	0.5234650301
31	0.5218559962
32	0.5205082251
33	0.5192238072
34	0.5169405138
35	0.5157548314
36	0.5145345879
37	0.5138163443
38	0.5125546175
39	0.5112144634
40	0.5093693742
41	0.5078147324
42	0.5065901599
43	0.5053799504
44	0.5041974068
45	0.503142775
46	0.5014003914
47	0.5004571804
48	0.4997079461
49	0.4987006415
50	0.4974316267
51	0.4962372091
52	0.4949622394
53	0.4941565606
54	0.4930359707
55	0.4916600163
56	0.4904575568
57	0.4888505014
58	0.487582335
59	0.486401242
60	0.4856055779
61	0.4843112742
62	0.4834328339
63	0.4825662056
64	0.481508336
65	0.4806689033
66	0.4799050858
67	0.4791347436
68	0.4777641278
69	0.4760593452
70	0.4751345435
71	0.4739388156
72	0.4732250127
73	0.4721921592
74	0.4705077927
75	0.4688641518
76	0.4682418913
77	0.4671486217
78	0.4659122258
79	0.4649238986
80	0.4638407889
81	0.4631466054
82	0.4614665301
83	0.4603053161
84	0.4597995358
85	0.4590672217
86	0.458198777
87	0.457081576
88	0.4564747046
89	0.4556408383
90	0.455057464
91	0.4541245946
92	0.4532061847
93	0.4521097406
94	0.4516378687
95	0.4509451061
96	0.4501521453
97	0.4483480402
98	0.4479290839
99	0.4466294154
100	0.4457473859
101	0.4450977934
102	0.4441580818
103	0.4432213524
104	0.4423704956
105	0.4416020841
106	0.44056449
107	0.4398721028
108	0.4393465753
109	0.4381798608
110	0.4368915541
111	0.4354169602
112	0.4343232138
113	0.4335122739
114	0.4323075206
115	0.4317072268
116	0.4300501948
117	0.4293440762
118	0.4285974353
119	0.4279697252
120	0.4274450974
121	0.4269325804
122	0.426089818
123	0.4249158064
124	0.4239035497
125	0.4227130081
126	0.4214562783
127	0.420677542
128	0.4198848334
129	0.419127736
130	0.4186004902
131	0.4180770399
132	0.4170993026
133	0.4164233947
134	0.4154154382
135	0.4147268665
136	0.4139661638
137	0.4128320039
138	0.4122577222
139	0.4115803221
140	0.4106247907
141	0.4094747675
142	0.409000761
143	0.4084696246
144	0.4077910713
145	0.4072151154
146	0.4069049718
147	0.4064563067
148	0.4055930325
149	0.4050840811
150	0.4045776891
151	0.4039084875
152	0.403274257
153	0.4025484888
154	0.4017084126
155	0.4008940614
156	0.4002626223
157	0.3991998646
158	0.3985412462
159	0.3978058255
160	0.3970584281
161	0.3963849935
162	0.3958942845
163	0.3954183064
164	0.3948441035
165	0.3943933007
166	0.3931951946
167	0.3923329642
168	0.391795267
169	0.3913983939
170	0.3904565594
171	0.3899325925
172	0.3892773075
173	0.3886048089
174	0.3874670321
175	0.3870901209
176	0.3865697015
177	0.3858400073
178	0.3854218029
179	0.3846803397
180	0.3840847272
181	0.3834703129
182	0.3827466369
183	0.3820150353
184	0.381337999
185	0.3807221537
186	0.380254228
187	0.379857518
188	0.37901041
189	0.3786311086
190	0.3782415927
191	0.3778261192
192	0.3772190527
193	0.3766980504
194	0.3761877889
195	0.3758472444
196	0.3753392915
197	0.3750148129
198	0.3742528721
199	0.3736593073
200	0.3730848639
201	0.3726710113
202	0.3722524195
203	0.3718184663
204	0.3713494562
205	0.3707127801
206	0.3695801925
207	0.3689230382
208	0.3684538858
209	0.3678319362
210	0.3671309943
211	0.3662114503
212	0.3657067521
213	0.3649208797
214	0.3644384262
215	0.3637007555
216	0.3634936887
217	0.362908802
218	0.3623008138
219	0.3619065288
220	0.3612541369
221	0.3608133727
222	0.3604238718
223	0.3596106492
224	0.3590064409
225	0.3584803064
226	0.3580692606
227	0.3573013827
228	0.3569336487
229	0.3565299744
230	0.3561528222
231	0.3552887249
232	0.354739944
233	0.3542785712
234	0.3539109656
235	0.3532514218
236	0.3528913417
237	0.3525830287
238	0.351963816
239	0.3515486506
240	0.3510875788
241	0.3504158451
242	0.3499923864
243	0.3495260285
244	0.3488130582
245	0.3484825569
246	0.3479358725
247	0.3475709618
248	0.3469144664
249	0.3463728299
250	0.3460205566
251	0.345077755
252	0.3443054738
253	0.3439888446
254	0.3432008117
255	0.3427193122
256	0.3419115229
257	0.3416269671
258	0.3412355399
259	0.3403529069
260	0.3398264868
261	0.3394833771
262	0.3390379911
263	0.3384844882
264	0.33788726
265	0.3373352626
266	0.3369872659
267	0.336604774
268	0.3360556119
269	0.3355584738
270	0.3347678493
271	0.3341963264
272	0.3336512942
273	0.3332473542
274	0.3328793154
275	0.3324396092
276	0.3321757776
277	0.3321233489
278	0.3316908018
279	0.3312661744
280	0.330797631
281	0.3301986837
282	0.3296929978
283	0.3294503324
284	0.328883455
285	0.3285703775
286	0.3282368628
287	0.3277940079
288	0.3275751677
289	0.327164298
290	0.3269110143
291	0.3262722531
292	0.325839947
293	0.3254811297
294	0.325086553
295	0.3245421525
296	0.3242067706
297	0.3238236278
298	0.3232598419
299	0.3228174058
300	0.3222358802
301	0.321617364
302	0.3207728771
303	0.3203915736
304	0.3200383734
305	0.3196997625
306	0.3192829769
307	0.3188501132
308	0.318482574
309	0.3179870754
310	0.3176459127
311	0.3171798017
312	0.3168604299
313	0.316460132
314	0.3158683538
315	0.315301554
316	0.3149120692
317	0.3142937916
318	0.3136575574
319	0.3131110142
320	0.3128748687
321	0.3126822016
322	0.3124863922
323	0.311905814
324	0.3109167128
325	0.3104438289
326	0.3101030988
327	0.3095552905
328	0.3091531275
329	0.3088318931
330	0.3084196305
331	0.3080014568
332	0.3076949837
333	0.3070709848
334	0.306739784
335	0.3064372251
336	0.3061796774
337	0.305861983
338	0.3051164807
339	0.3045607426
340	0.3042713014
341	0.3039737467
342	0.3035804358
343	0.3031325889
344	0.3028705532
345	0.3026047831
346	0.3022349175
347	0.3017725416
348	0.3013999346
349	0.3009245726
350	0.3008022564
351	0.3003590829
352	0.2999305926
353	0.2995276146
354	0.2992372487
355	0.2989395622
356	0.2983274617
357	0.2977888362
358	0.2972153217
359	0.2969912303
360	0.2966062712
361	0.2963533134
362	0.2959628725
363	0.2955803161
364	0.2951802628
365	0.2947782614
366	0.294185865
367	0.293850226
368	0.2934968441
369	0.2932483144
370	0.2928561837
371	0.2922745761
372	0.2917935128
373	0.2913797575
374	0.2910854399
375	0.2904102283
376	0.2900974295
377	0.2897053315
378	0.2894044198
379	0.288951197
380	0.2885221494
381	0.2881419224
382	0.2877573348
383	0.2873768353
384	0.2866897972
385	0.2860873546
386	0.2857843073
387	0.2855354205
388	0.2851747038
389	0.2848930717
390	0.2840702525
391	0.2833975654
392	0.2829283764
393	0.282674609
394	0.2821155874
395	0.2818699046
396	0.2816218882
397	0.2815095531
398	0.2812347788
399	0.2808267755
400	0.2803869236
401	0.2801089363
402	0.2799209861
403	0.2796238031
404	0.2790119124
405	0.2786849871
406	0.2780894382
407	0.2776975191
408	0.2774523984
409	0.2770090517
410	0.2766824362
411	0.2762755722
412	0.2757550782
413	0.2755224561
414	0.2750434796
415	0.2746939585
416	0.274487129
417	0.2741345995
418	0.2738458307
419	0.2736156331
420	0.2733126831
421	0.2729189923
422	0.2724303193
423	0.2717323527
424	0.2712129001
425	0.2709104998
426	0.270722426
427	0.2704581476
428	0.2702165184
429	0.2698282252
430	0.2694871078
431	0.2689862701
432	0.2685504344
433	0.2684596724
434	0.2679404808
435	0.2675509922
436	0.2672518185
437	0.2669313932
438	0.2665306925
439	0.2661839712
440	0.2658859986
441	0.2655348059
442	0.2653033904
443	0.2650066677
444	0.2646366175
445	0.2642007097
446	0.2638292246
447	0.2633662035
448	0.2627976339
449	0.2622969229
450	0.2618838511
451	0.2615556052
452	0.2610840348
453	0.2607998684
454	0.2605903087
455	0.2601674328
456	0.2598815776
457	0.2595188388
458	0.2592138984
459	0.2589784631
460	0.2585958216
461	0.2583777574
462	0.2580654846
463	0.257718875
464	0.2571821929
465	0.2564635804
466	0.2560937708
467	0.2558057392
468	0.2555405574
469	0.2552514497
470	0.2550101392
471	0.2545114689
472	0.254284906
473	0.2542234502
474	0.2537235113
475	0.2535307901
476	0.2531750521
477	0.2527492331
478	0.2525163108
479	0.2522136667
480	0.2520403338
481	0.251757392
482	0.2510918767
483	0.2508436575
484	0.2506123672
485	0.2502691908
486	0.2500250587
487	0.249488212
488	0.2491493467
489	0.248830452
490	0.2485552892
491	0.248318755
492	0.2481180641
493	0.2478643908
494	0.2475238767
495	0.2472315331
496	0.2468960323
497	0.246557072
498	0.2463792126
499	0.24615415
