region,state,zip3,Number of Records,postal_cd_key
Midwest,IA,503,1,50310
Midwest,IA,503,1,50311
Midwest,IA,503,1,50312
Midwest,IA,503,1,50313
Midwest,IA,503,1,50314
Midwest,IA,503,1,50315
Midwest,IA,503,1,50316
Midwest,IA,503,1,50317
Midwest,IA,503,1,50318
Midwest,IA,503,1,50319
Midwest,IA,503,1,50320
Midwest,IA,503,1,50321
Midwest,IA,503,1,50322
Midwest,IA,503,1,50323
Midwest,IA,503,1,50324
Midwest,IA,503,1,50325
Midwest,IA,503,1,50327
Midwest,IA,503,1,50328
Midwest,IA,503,1,50329
Midwest,IA,503,1,50330
Midwest,IA,503,1,50331
Midwest,IA,503,1,50332
Midwest,IA,503,1,50333
Midwest,IA,503,1,50334
Midwest,IA,503,1,50335
Midwest,IA,503,1,50336
Midwest,IA,503,1,50339
Midwest,IA,503,1,50340
Midwest,IA,503,1,50347
Midwest,IA,503,1,50350
Midwest,IA,503,1,50359
Midwest,IA,503,1,50360
Midwest,IA,503,1,50361
Midwest,IA,503,1,50362
Midwest,IA,503,1,50363
Midwest,IA,503,1,50364
Midwest,IA,503,1,50367
Midwest,IA,503,1,50368
Midwest,IA,503,1,50369
Midwest,IA,503,1,50380
Midwest,IA,503,1,50381
Midwest,IA,503,1,50391
Midwest,IA,503,1,50392
Midwest,IA,503,1,50393
Midwest,IA,503,1,50394
Midwest,IA,503,1,50395
Midwest,IA,503,1,50396
Midwest,IA,503,1,50397
Midwest,IA,503,1,50398
Midwest,IA,504,1,50401
Midwest,IA,504,1,50402
Midwest,IA,504,1,50420
Midwest,IA,504,1,50421
Midwest,IA,504,1,50423
Midwest,IA,504,1,50424
Midwest,IA,504,1,50426
Midwest,IA,504,1,50427
Midwest,IA,504,1,50428
Midwest,IA,504,1,50430
Midwest,IA,504,1,50431
Midwest,IA,504,1,50432
Midwest,IA,504,1,50433
Midwest,IA,504,1,50434
Midwest,IA,504,1,50435
Midwest,IA,504,1,50436
Midwest,IA,504,1,50438
Midwest,IA,504,1,50439
Midwest,IA,504,1,50440
Midwest,IA,504,1,50441
Midwest,IA,504,1,50444
Midwest,IA,504,1,50446
Midwest,IA,504,1,50447
Midwest,IA,504,1,50448
Midwest,IA,504,1,50449
Midwest,IA,504,1,50450
Midwest,IA,504,1,50451
Midwest,IA,504,1,50452
Midwest,IA,504,1,50453
Midwest,IA,504,1,50454
Midwest,IA,504,1,50455
Midwest,IA,504,1,50456
Midwest,IA,504,1,50457
Midwest,IA,504,1,50458
Midwest,IA,504,1,50459
Midwest,IA,504,1,50460
Midwest,IA,504,1,50461
Midwest,IA,504,1,50464
Midwest,IA,504,1,50465
Midwest,IA,504,1,50466
Midwest,IA,504,1,50467
Midwest,IA,504,1,50468
Midwest,IA,504,1,50469
Midwest,IA,504,1,50470
Midwest,IA,504,1,50471
Midwest,IA,504,1,50472
Midwest,IA,504,1,50473
Midwest,IA,504,1,50475
Midwest,IA,504,1,50476
Midwest,IA,504,1,50477
Midwest,IA,504,1,50478
Midwest,IA,504,1,50479
Midwest,IA,504,1,50480
Midwest,IA,504,1,50481
Midwest,IA,504,1,50482
Midwest,IA,504,1,50483
Midwest,IA,504,1,50484
